Racoon Name: George#6
Average location: X 591189.034454322 Y 4504604.085012094
Distance traveled : 593.9382753487247
Average energy level: 563.6214285714285
Raccoon end state: George number 6 died from starvation

Date	 X	 Y	 Asleep Flag	Behavior Mode	Distance Traveled
6/19/2008	591071.374756626	4504664.29938361	False	SafeSearchModifier	0
6/19/2008	591112.752918467	4504620.85001397	False	RiskySearchModifier	59.99999999488471
6/19/2008	591159.738875885	4504583.53621216	False	RiskyForageModifier	60.00000000009696
6/19/2008	591177.048458523	4504546.70960308	False	RiskyForageModifier	40.691777885469
6/19/2008	591184.067274814	4504531.77688002	False	RiskyForageModifier	16.50000000282419
6/19/2008	591192.036321619	4504547.28129659	False	RiskyForageModifier	17.432516747660557
6/19/2008	591210.13894318	4504582.5013916	False	RiskyForageModifier	39.59999999827276
6/19/2008	591257.350537335	4504619.52929159	False	RiskyForageModifier	60.000000002673985
6/19/2008	591307.574400613	4504641.73534564	False	RiskyForageModifier	54.913980724886414
6/19/2008	591303.184361127	4504639.79432702	False	RiskyForageModifier	4.799999997265808
6/19/2008	591243.186822335	4504639.25087614	False	RiskyForageModifier	59.99999999960583
6/19/2008	591183.256748391	4504636.35497609	False	RiskyForageModifier	60.00000000031955
6/19/2008	591123.432415996	4504631.76702955	False	RiskyForageModifier	59.99999999964481
6/19/2008	591121.339525596	4504571.80354225	False	RiskyForageModifier	59.999999995120135
